,id,session_labels,title,label,description,live_status,legacy_alias,user_id,created_date,date,updated_date,video_id,video_url,category_id,category_label,doc_id,doc_url,categories,documents
198,14725,"[7, 8]","Planning Commission Meeting: August 23, 2016","Planning Commission Meeting: August 23, 2016",,0,,134.0,2017-09-15,2016-08-23,2017-09-15,gXwDbzVBd8o,https://www.youtube.com/watch?v=gXwDbzVBd8o&feature=youtu.be,20.0,City Council,3974.0,,"[{u'livestream': u'1', u'position': u'-10', u'user_id': u'134', u'id': u'20', u'label': u'City Council'}]","[{u'user_id': u'134', u'type_id': u'1', u'url': None, u'storage': u'external', u'session_id': u'14725', u'label': None, u'file_id': None, u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'Planning Commission Meeting: August 23, 2016', u'type': u'Agenda', u'id': u'3974', u'agenda_provider_id': None}]"
199,432,"[3, 5]",City Council Work Session 07-17-2013,City Council Work Session 07-17-2013,,0,shows/city-council-work-session-07-17-2013,134.0,2013-07-17,2013-07-17,2017-03-20,6emNr8AZ_L0,https://www.youtube.com/watch?v=6emNr8AZ_L0,20.0,City Council,493.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_253.pdf,"[{u'livestream': u'1', u'position': u'-10', u'user_id': u'134', u'id': u'20', u'label': u'City Council'}]","[{u'user_id': u'134', u'type_id': u'1', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_253.pdf', u'storage': u'attachment', u'session_id': u'432', u'label': None, u'file_id': u'563', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Work Session 07-17-2013', u'type': u'Agenda', u'id': u'493', u'agenda_provider_id': None}, {u'user_id': u'134', u'type_id': u'4', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/minutes_192.pdf', u'storage': u'attachment', u'session_id': u'432', u'label': None, u'file_id': u'564', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Work Session 07-17-2013', u'type': u'Minutes', u'id': u'494', u'agenda_provider_id': None}]"
200,14727,"[7, 8]","Planning Commission Meeting: August 23, 2016","Planning Commission Meeting: August 23, 2016",,0,,134.0,2017-09-15,2016-08-23,2017-09-15,gXwDbzVBd8o,https://www.youtube.com/watch?v=gXwDbzVBd8o&feature=youtu.be,22.0,Planning Commission,3978.0,,"[{u'livestream': u'1', u'position': u'-9', u'user_id': u'134', u'id': u'22', u'label': u'Planning Commission'}]","[{u'user_id': u'134', u'type_id': u'1', u'url': None, u'storage': u'external', u'session_id': u'14727', u'label': None, u'file_id': None, u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'Planning Commission Meeting: August 23, 2016', u'type': u'Agenda', u'id': u'3978', u'agenda_provider_id': None}]"
201,3371,[2],Harvest Fest 2015,Harvest Fest 2015,"<p>Come to Harvest Fest on Saturday, September 12, 2015 fom 10 a.m. to 5 p.m, at the Community Park at Thornton Parkway and York Street.</p>

<p>For more info visit:</p>

<p>http://www.cityofthornton.net/festivals-events/Pages/harvest-fest.aspx</p>
",0,,186.0,2015-08-01,2015-08-01,2017-07-11,6cu2RqGvL8Q,https://www.youtube.com/watch?v=6cu2RqGvL8Q,62.0,PSAs,,,"[{u'livestream': u'0', u'position': u'-5', u'user_id': u'186', u'id': u'62', u'label': u'PSAs'}]",
202,2568,"[10, 12, 16]","Board of Commissioners Morning Meeting: August 5, 2015","Board of Commissioners Morning Meeting: August 5, 2015",,0,,143.0,2017-05-10,2015-08-05,2017-05-10,vJs-Dtuw5hI,https://www.youtube.com/watch?v=vJs-Dtuw5hI,25.0,Board of County Commissioners,,,"[{u'livestream': u'1', u'position': u'0', u'user_id': u'143', u'id': u'25', u'label': u'Board of County Commissioners'}]",
203,537,"[2, 3, 7]",Planning Commission 07-14-2015,Planning Commission 07-14-2015,,0,shows/planning-commission-07-14-2015,134.0,2015-07-14,2015-07-14,2017-03-20,nBnilAn5GJs,https://www.youtube.com/watch?v=nBnilAn5GJs,22.0,Planning Commission,668.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_87_0.pdf,"[{u'livestream': u'1', u'position': u'-9', u'user_id': u'134', u'id': u'22', u'label': u'Planning Commission'}]","[{u'user_id': u'134', u'type_id': u'1', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_87_0.pdf', u'storage': u'attachment', u'session_id': u'537', u'label': None, u'file_id': u'738', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'Planning Commission 07-14-2015', u'type': u'Agenda', u'id': u'668', u'agenda_provider_id': None}]"
204,21314,"[2, 5, 16]",Town of New Castle Board Meeting 12/11/17,Town of New Castle Board Meeting 12/11/17,,0,,281.0,2017-12-12,2017-12-11,2017-12-12,mxKtf0pd32w,https://youtu.be/mxKtf0pd32w,158.0,Town of New Castle Board Meetings,4853.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/281/documents/12.11.17_agenda_test_0.pdf?mDTEq5MmaDaqHfjjHU.2GpVPiPweT7QI,"[{u'livestream': u'0', u'position': u'-10', u'user_id': u'281', u'id': u'158', u'label': u'Town of New Castle Board Meetings'}]","[{u'user_id': u'281', u'type_id': u'1', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/281/documents/12.11.17_agenda_test_0.pdf?mDTEq5MmaDaqHfjjHU.2GpVPiPweT7QI', u'storage': u'attachment', u'session_id': u'21314', u'label': None, u'file_id': u'4217', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'Town of New Castle Board Meeting 12/11/17', u'type': u'Agenda', u'id': u'4853', u'agenda_provider_id': None}]"
205,5852,"[0, 6, 12, 16, 19]",City Council - Regular Meeting  - 09/18/12,City Council - Regular Meeting  - 09/18/12,,0,,199.0,2012-09-18,2012-09-18,2017-08-01,Ow-dkCK70Js,https://www.youtube.com/watch?v=Ow-dkCK70Js,69.0,Council,2176.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/199/documents/cc_agenda_09-18-2012.pdf?DO97TP5Vc5ermurhiNxIeHlYmqmAFQKi,"[{u'livestream': u'1', u'position': u'0', u'user_id': u'199', u'id': u'69', u'label': u'Council'}]","[{u'user_id': u'199', u'type_id': u'1', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/199/documents/cc_agenda_09-18-2012.pdf?DO97TP5Vc5ermurhiNxIeHlYmqmAFQKi', u'storage': u'attachment', u'session_id': u'5852', u'label': None, u'file_id': u'2272', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council - Regular Meeting  - 09/18/12', u'type': u'Agenda', u'id': u'2176', u'agenda_provider_id': None}, {u'user_id': u'199', u'type_id': u'3', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/199/granicus_files/921_calendar_1347948000.html', u'storage': u'external', u'session_id': u'5852', u'label': None, u'file_id': None, u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council - Regular Meeting  - 09/18/12', u'type': u'Calendar', u'id': u'2177', u'agenda_provider_id': None}, {u'user_id': u'199', u'type_id': u'2', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/199/documents/cc_minutes_09-18-2012.pdf?x93wbEDBZ8LvD5xVuMISuIajkWkerWeP', u'storage': u'attachment', u'session_id': u'5852', u'label': None, u'file_id': u'2273', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council - Regular Meeting  - 09/18/12', u'type': u'Journal', u'id': u'2178', u'agenda_provider_id': None}, {u'user_id': u'199', u'type_id': u'5', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/199/documents/cc_packet_09-18-2012.pdf?x2MOtBTILi42WxEejUSI28CM2KYb8ZNR', u'storage': u'attachment', u'session_id': u'5852', u'label': None, u'file_id': u'2274', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council - Regular Meeting  - 09/18/12', u'type': u'Packet', u'id': u'2179', u'agenda_provider_id': None}]"
206,2540,"[12, 13, 18]","Budget Committee Meeting: May 12, 2015","Budget Committee Meeting: May 12, 2015",,0,,143.0,2017-05-10,2015-05-12,2017-05-10,J1vUyeT00P4,https://www.youtube.com/watch?v=J1vUyeT00P4,28.0,Budget Committee,,,"[{u'livestream': u'1', u'position': u'0', u'user_id': u'143', u'id': u'28', u'label': u'Budget Committee'}]",
207,3260,"[2, 9, 14, 17]",Connected Colorado - April-May 2013 ,Connected Colorado - April-May 2013 ,"<p>It's time to spring forward and get outside and enjoy some great open spaces and trails! We'll show you Two Ponds in Arvada, which is the smallest National Wildlife Refuge in the country, plus the brand new Metzger Farm Open Space, and some great bike trails in Lakewood. It's also time for planting, so we'll learn about an urban agriculture program in Wheat Ridge. We'll also visit the fascinating Butterfly Pavilion, on Connected Colorado.</p>
",0,,186.0,2013-07-09,2013-07-09,2017-07-11,F2wDSZGqGFo,http://www.youtube.com/watch?feature=player_detailpage&v=F2wDSZGqGFo,63.0,Connected Colorado,,,"[{u'livestream': u'0', u'position': u'-4', u'user_id': u'186', u'id': u'63', u'label': u'Connected Colorado'}]",
208,3817,"[0, 7]","Thornton City Council Meeting - July 11, 2017","Thornton City Council Meeting - July 11, 2017","To access the closed caption information associated with this video, click the CC icon in the lower right corner of the video player.

View more information on Thornton's City Council&nbsp;<a href=""http://www.cityofthornton.net/government/city-council/Pages/default.aspx"">here.</a>
",0,,186.0,2017-07-11,2017-07-11,2017-07-18,aDrXNw7zUTA,https://www.youtube.com/watch?v=aDrXNw7zUTA,58.0,City Council Meeting,1646.0,https://docs.google.com/document/d/1KwcdcSUSX1SblwuxdbNb2J46GRYQFj7SLUKj3N68vLw/pub,"[{u'livestream': u'1', u'position': u'-10', u'user_id': u'186', u'id': u'58', u'label': u'City Council Meeting'}]","[{u'user_id': u'186', u'type_id': u'1', u'url': u'https://docs.google.com/document/d/1KwcdcSUSX1SblwuxdbNb2J46GRYQFj7SLUKj3N68vLw/pub', u'storage': u'external', u'session_id': u'3817', u'label': None, u'file_id': None, u'provider': u'om_googledrive', u'agenda_provider_agenda_id': None, u'session_title': u'Thornton City Council Meeting - July 11, 2017', u'type': u'Agenda', u'id': u'1646', u'agenda_provider_id': None}]"
209,734,"[2, 3, 5]",Planning Commission Public Hearing 12-11-2012,Planning Commission Public Hearing 12-11-2012,,0,shows/planning-commission-public-hearing-12-11-2012,134.0,2012-12-11,2012-12-11,2017-03-20,RoI590wwl6E,https://www.youtube.com/watch?v=RoI590wwl6E,22.0,Planning Commission,970.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_174_0.pdf,"[{u'livestream': u'1', u'position': u'-9', u'user_id': u'134', u'id': u'22', u'label': u'Planning Commission'}]","[{u'user_id': u'134', u'type_id': u'1', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_174_0.pdf', u'storage': u'attachment', u'session_id': u'734', u'label': None, u'file_id': u'1041', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'Planning Commission Public Hearing 12-11-2012', u'type': u'Agenda', u'id': u'970', u'agenda_provider_id': None}]"
210,2536,"[0, 4, 12, 13]","Board of Commissioners Morning Meeting: May 8, 2015","Board of Commissioners Morning Meeting: May 8, 2015",,0,,143.0,2017-05-10,2015-05-08,2017-05-10,o_fS-tOAmec,https://www.youtube.com/watch?v=o_fS-tOAmec,25.0,Board of County Commissioners,,,"[{u'livestream': u'1', u'position': u'0', u'user_id': u'143', u'id': u'25', u'label': u'Board of County Commissioners'}]",
211,10046,"[3, 5, 11]",Planning Board - 3/9/2015,Planning Board - 3/9/2015,,0,,199.0,2015-03-09,2015-03-09,2017-08-02,g72wgbOycNw,https://www.youtube.com/watch?v=g72wgbOycNw,70.0,Planning,3326.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/199/granicus_files/1432_calendar_1425880800.pdf,"[{u'livestream': u'1', u'position': u'0', u'user_id': u'199', u'id': u'70', u'label': u'Planning'}]","[{u'user_id': u'199', u'type_id': u'3', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/199/granicus_files/1432_calendar_1425880800.pdf', u'storage': u'external', u'session_id': u'10046', u'label': None, u'file_id': None, u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'Planning Board - 3/9/2015', u'type': u'Calendar', u'id': u'3326', u'agenda_provider_id': None}, {u'user_id': u'199', u'type_id': u'2', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/199/documents/pb_minutes_030915_journal_legistar.pdf?rfUhJyYBMEpl4onEflD3yobxtsvrs.Dr', u'storage': u'attachment', u'session_id': u'10046', u'label': None, u'file_id': u'2988', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'Planning Board - 3/9/2015', u'type': u'Journal', u'id': u'3327', u'agenda_provider_id': None}]"
212,406,"[13, 14]",City Council Meeting 11-12-2013,City Council Meeting 11-12-2013,,0,shows/city-council-meeting-11-12-2013,134.0,2013-11-12,2013-11-12,2017-03-20,SWsXMH6depU,https://www.youtube.com/watch?v=SWsXMH6depU,20.0,City Council,443.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_219.pdf,"[{u'livestream': u'1', u'position': u'-10', u'user_id': u'134', u'id': u'20', u'label': u'City Council'}]","[{u'user_id': u'134', u'type_id': u'1', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_219.pdf', u'storage': u'attachment', u'session_id': u'406', u'label': None, u'file_id': u'513', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Meeting 11-12-2013', u'type': u'Agenda', u'id': u'443', u'agenda_provider_id': None}, {u'user_id': u'134', u'type_id': u'4', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/minutes_171.pdf', u'storage': u'attachment', u'session_id': u'406', u'label': None, u'file_id': u'514', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Meeting 11-12-2013', u'type': u'Minutes', u'id': u'444', u'agenda_provider_id': None}]"
213,316,"[8, 16, 19]",City Council Public Hearing 11-17-2014,City Council Public Hearing 11-17-2014,,0,shows/city-council-public-hearing-11-17-2014,134.0,2014-11-17,2014-11-17,2017-03-20,3iex8vsmLxw,https://www.youtube.com/watch?v=3iex8vsmLxw,20.0,City Council,275.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_152.pdf,"[{u'livestream': u'1', u'position': u'-10', u'user_id': u'134', u'id': u'20', u'label': u'City Council'}]","[{u'user_id': u'134', u'type_id': u'1', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_152.pdf', u'storage': u'attachment', u'session_id': u'316', u'label': None, u'file_id': u'345', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Public Hearing 11-17-2014', u'type': u'Agenda', u'id': u'275', u'agenda_provider_id': None}, {u'user_id': u'134', u'type_id': u'4', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/minutes_92.pdf', u'storage': u'attachment', u'session_id': u'316', u'label': None, u'file_id': u'346', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Public Hearing 11-17-2014', u'type': u'Minutes', u'id': u'276', u'agenda_provider_id': None}]"
